case_path	generator_sha256	packaged_sha256	packaging_transform	archive_member	archive_byte_match	pair_byte_match	origin	source_pin	source_locator	license_basis
RTL/deps/MMIOBridgeEntry.sv	2e42acb5aec9768a50a0c344826efd82b103b455be86de5a2947c5de45e4c999	1a9a2f964a6aa9082169c4623566ff316a89f95adcaced6d8a974ac379a2b39b	trim-extra-eof-newline	./MMIOBridgeEntry.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MMIOBridge.scala:69:7	Mulan-PSL-2.0
RTL/deps/MMIOBridgeEntry_2.sv	9ef3866571120ad0f22a887e81ef9c4f890984a88edac34ff002f7c7df36fd5f	12fe6c610e6e9d534fb07f52e9b2c46d18237aa4316ad5233bb0d8da0df5b200	trim-extra-eof-newline	./MMIOBridgeEntry_2.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MMIOBridge.scala:69:7	Mulan-PSL-2.0
RTL/deps/MMIOBridgeEntry_4.sv	f60438e273af3077b67e3aa856b907c82bf874b5834134b07c343c76307c47f4	2977343a0fe51f8916a8298f1700181898e97adba8b15410c0ace976081363d3	trim-extra-eof-newline	./MMIOBridgeEntry_4.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MMIOBridge.scala:69:7	Mulan-PSL-2.0
RTL/deps/MMIOBridgeEntry_8.sv	b628c9e7918c02f29dbb5a5310dea5e6205814b1ff915013159b6394cf46cb99	109332558f61e60653c1dbe7821b7893f9e037da1f3d0628207d73c60d37313b	trim-extra-eof-newline	./MMIOBridgeEntry_8.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MMIOBridge.scala:69:7	Mulan-PSL-2.0
RTL/deps/FastArbiter_2.sv	a51cc590d8f32b4345d221006da7b29d51258a9bae7d5407d58f92f72373eedc	d008127dc7cd23b204041e601dedac1e1c74c27724d77bd0867c31c2559cb080	trim-extra-eof-newline	./FastArbiter_2.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/TwoLevelRRArbiter_1.sv	f93e3f1f653ac742f83cf54a13a40f27512327797748999e459ca8552fe7d679	691a7844ba3fd8a281dc36eddd8c7daef00e95dbfa79159042b0d3d05afa8f27	trim-extra-eof-newline	./TwoLevelRRArbiter_1.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/Arbiter16_CHIDAT.sv	d6c5806657ffeb6f9bb45c853712af17d2fda276656732fc86dcd3ef740fd5c8	61cedf8d43d55d6c3065cf921596d4802655b616ff220c5cbaca0ef6ffd77df0	trim-extra-eof-newline	./Arbiter16_CHIDAT.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Arbiter.scala:149:7	Apache-2.0
RTL/deps/Arbiter16_TLBundleD.sv	783a9534dc494bdd5e870884d691493b42fd723c55104135dc0f2954dee8807f	1708613f3168f82426263a25477acb15e41fa50ef8c24c7e914cd4e85ff08a77	trim-extra-eof-newline	./Arbiter16_TLBundleD.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Arbiter.scala:149:7	Apache-2.0
RTL/deps/MMIOBridge.sv	56bcdd4209c058bca6e52db8f8fb8b0d4ad407ed8b06ddc8aa598fe7063c5ee4	2f3f21678b64c6d2da17924d7653f0013973e90a9828e79dc8f99406bfba1805	trim-extra-eof-newline	./MMIOBridge.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MMIOBridge.scala:345:7	Mulan-PSL-2.0
RTL/deps/DelayQueue.sv	c007063b555340293d6d3e035b283a0f1e494dea28ce81280f302aab23669961	aeca61575e71cc1ac30cc86434ee91941144a5532183c18002852fc0f2da6564	trim-extra-eof-newline	./DelayQueue.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/prefetch/BestOffsetPrefetch.scala:612:7	Mulan-PSL-2.0
