pdk,fanout,floorplan,cts,globalroute,finish,surprise
asap7,1,0.62438,0.28025760000000005,0.26517759999999996,0.3628284,0.09765080000000004
asap7,2,0.622208,0.2811356,0.2669952,0.330376,0.06338080000000001
asap7,4,0.572052,0.26942160000000004,0.2575276,0.339154,0.08162639999999999
asap7,8,0.580076,0.212552,0.1951668,0.29139800000000005,0.09623120000000004
asap7,16,0.532976,0.12345919999999999,0.106724,0.3135232,0.20679920000000002
asap7,32,0.530124,0.40226799999999996,0.392002,0.38984399999999997,-0.0021580000000000488
asap7,64,0.498484,0.2173672,0.208872,0.2308028,0.0219308
asap7,128,0.465212,0.02680732,0.0848352,-0.00782564,-0.09266084
gt2n,1,0.7409783333333333,0.42891333333333337,0.35570999999999997,0.35570999999999997,0.0
gt2n,2,0.7408716666666667,0.31511833333333333,0.19074166666666664,0.19074166666666664,0.0
gt2n,4,0.7391933333333334,0.12307083333333334,-0.1010605,-0.1010605,0.0
gt2n,8,0.7392133333333334,0.37095500000000003,0.26882333333333336,0.26882333333333336,0.0
gt2n,16,0.7377583333333333,0.39076500000000003,0.260795,0.260795,0.0
gt2n,32,0.7418416666666667,0.41768833333333333,0.32850999999999997,0.32850999999999997,0.0
gt2n,64,0.7408183333333334,0.23402666666666666,0.09391999999999999,0.09391999999999999,0.0
gt2n,128,0.7410216666666667,0.183575,0.04911416666666667,0.04911416666666667,0.0
ihp-sg13g2,1,0.79996,0.7999149999999999,0.7999133333333333,0.7999416666666666,2.8333333333296906e-05
ihp-sg13g2,2,0.79996,0.7999166666666667,0.7999149999999999,0.7999400000000001,2.500000000016378e-05
ihp-sg13g2,4,0.79996,0.7999166666666667,0.7999149999999999,0.799935,2.0000000000020002e-05
ihp-sg13g2,8,0.79996,0.7999133333333333,0.7999133333333333,0.7999183333333334,5.000000000143778e-06
ihp-sg13g2,16,0.79996,0.7998533333333333,0.7998449999999999,0.7998983333333334,5.3333333333460686e-05
ihp-sg13g2,32,0.79996,0.7998766666666667,0.7998700000000001,0.7998916666666668,2.1666666666697587e-05
ihp-sg13g2,64,0.79996,0.7998633333333334,0.7998566666666668,0.7998500000000001,-6.666666666710341e-06
ihp-sg13g2,128,0.79996,0.7998133333333334,0.799805,0.7997816666666666,-2.3333333333375172e-05
sky130hd,1,0.79996625,0.79983875,0.79983875,0.7998425,3.749999999969056e-06
sky130hd,2,0.79996625,0.7998375,0.7998350000000001,0.79981625,-1.8750000000067324e-05
sky130hd,4,0.79996625,0.7997825000000001,0.79977875,0.79981625,3.7500000000023626e-05
sky130hd,8,0.79996625,0.79978375,0.79977125,0.79978625,1.4999999999987246e-05
sky130hd,16,0.79996625,0.7998225,0.7998200000000001,0.79982625,6.2499999998744116e-06
sky130hd,32,0.7999625,0.7998225,0.79981875,0.799815,-3.749999999969056e-06
sky130hd,64,0.799965,0.79977625,0.799755,0.79975875,3.749999999969056e-06
sky130hd,128,0.799965,0.79977625,0.79975,0.7997475,-2.500000000016378e-06
